timestamp,m_avg
2023-05-06 16:59:59,28946.008893636765
2023-05-06 17:19:59,28725.562760728277
2023-05-06 17:39:59,28627.778115203328
2023-05-06 17:59:59,28612.537832934366
2023-05-06 18:19:59,28506.824799201313
2023-05-06 18:39:59,28557.089835271006
2023-05-06 18:59:59,28594.695300557953
2023-05-06 19:19:59,28603.21855091905
2023-05-06 19:39:59,28660.921274941487
2023-05-06 19:59:59,28675.04759479909
2023-05-06 20:19:59,28684.856774756587
2023-05-06 20:39:59,28757.598059618143
2023-05-06 20:59:59,28760.86516519437
2023-05-06 21:19:59,28820.90115911485
2023-05-06 21:39:59,28872.929043275264
2023-05-06 21:59:59,28915.831370649794
2023-05-06 22:19:59,28901.316184078623
2023-05-06 22:39:59,28872.165458504154
2023-05-06 22:59:59,28866.17691865522
2023-05-06 23:19:59,28831.973830806473
2023-05-06 23:39:59,28827.623714015182
2023-05-06 23:59:59,28819.47238813438
2023-05-07 00:19:59,28778.715984811573
2023-05-07 00:39:59,28757.51573500339
2023-05-07 00:59:59,28729.087721482654
2023-05-07 01:19:59,28792.917966725483
2023-05-07 01:39:59,28828.260527750845
2023-05-07 01:59:59,28839.297028613142
2023-05-07 02:19:59,28851.38378505571
2023-05-07 02:39:59,28839.075576393636
2023-05-07 02:59:59,28838.33844492539
2023-05-07 03:19:59,28845.051461916126
2023-05-07 03:39:59,28818.263602400355
2023-05-07 03:59:59,28889.379490176638
2023-05-07 04:19:59,28873.169671511696
2023-05-07 04:39:59,29029.281176629087
2023-05-07 04:59:59,28941.50252236932
2023-05-07 05:19:59,28907.059947665362
2023-05-07 05:39:59,28891.107729464806
2023-05-07 05:59:59,28848.577792993092
2023-05-07 06:19:59,28815.6344565974
2023-05-07 06:39:59,28775.62666404587
2023-05-07 06:59:59,28791.829058860116
2023-05-07 07:19:59,28816.66718952805
2023-05-07 07:39:59,28814.81238407611
2023-05-07 07:59:59,28827.873243762537
2023-05-07 08:19:59,28842.297232850648
2023-05-07 08:39:59,28853.496412446526
2023-05-07 08:59:59,28884.48846476358
2023-05-07 09:19:59,28890.45777786456
2023-05-07 09:39:59,28896.38308214528
2023-05-07 09:59:59,28921.640923698546
2023-05-07 10:19:59,28919.671823171568
2023-05-07 10:39:59,28919.42790185452
2023-05-07 10:59:59,28920.348286109707
2023-05-07 11:19:59,28941.217625289522
2023-05-07 11:39:59,28909.786806794637
2023-05-07 11:59:59,28863.519296216615
2023-05-07 12:19:59,28828.51709414504
2023-05-07 12:39:59,28832.01308916898
2023-05-07 12:59:59,28815.2506392303
2023-05-07 13:19:59,28813.212302913824
2023-05-07 13:39:59,28826.364680512397
2023-05-07 13:59:59,28837.342585135924
2023-05-07 14:19:59,28823.731104896255
2023-05-07 14:39:59,28785.196486392964
2023-05-07 14:59:59,28843.67434281785
2023-05-07 15:19:59,28870.607133106776
2023-05-07 15:39:59,28886.488137968023
2023-05-07 15:59:59,28917.101131119038
2023-05-07 16:19:59,28916.128428612534
2023-05-07 16:39:59,28934.110241876024
2023-05-07 16:59:59,28927.8494455512
2023-05-07 17:19:59,28914.55993878412
2023-05-07 17:39:59,28943.16462431754
2023-05-07 17:59:59,29031.551310333227
2023-05-07 18:19:59,29003.365375013578
2023-05-07 18:39:59,28939.02708942496
2023-05-07 18:59:59,28951.33077042831
2023-05-07 19:19:59,28945.640750160568
2023-05-07 19:39:59,28886.144947454963
2023-05-07 19:59:59,28904.286556825577
2023-05-07 20:19:59,28977.56144663662
2023-05-07 20:39:59,28939.96802853279
2023-05-07 20:59:59,28900.27076405425
2023-05-07 21:16:07,28912.246958832333
2023-05-07 23:39:28,28917.37736972157
